	followee	follower
0	iirham	【公式】Echocalypse -緋紅の神約-
1	iirham	승리의 여신: 니케
2	iirham	블루 아카이브
3	iirham	벽람항로
4	iirham	미니어스: 작지만 놀라운 모험
5	iirham	붕괴3rd
6	iirham	명일방주
7	iirham	백야극광
8	iirham	원신
9	【公式】Echocalypse -緋紅の神約-	【公式】成り上がり～華と武の戦国
10	【公式】Echocalypse -緋紅の神約-	【公式】ステラアルカナ
11	【公式】Echocalypse -緋紅の神約-	インフィニティ キングダム-諸王の戦争
12	블루 아카이브	넥슨(NEXON KOREA)
13	벽람항로	𝑹𝒂𝒐𝒏 ラオン
14	벽람항로	むーらん😈1日目西め21b@SD絵仕事募集中🌙☃️
15	벽람항로	アズールレーン公式
16	벽람항로	붕괴3rd
17	붕괴3rd	Honkai Impact 3rd
18	붕괴3rd	原神（Genshin）公式
19	명일방주	YostarGames
20	명일방주	Azur Lane Official
21	명일방주	アークナイツ公式
22	명일방주	Arknights_EN
23	백야극광	Alchemy Stars: Aurora Blast
24	백야극광	Alchemy Stars
25	백야극광	白夜極光＠P5Rコラボ開催中
26	원신	미해결사건부
27	원신	N0va Desktop
28	원신	Genshin Impact ES
29	원신	未定事件簿 公式【好評配信中】
30	원신	Tears of Themis
31	원신	Genshin Impact
32	インフィニティ キングダム-諸王の戦争	【公式】Echocalypse -緋紅の神約-
33	インフィニティ キングダム-諸王の戦争	青山ひかる@あおみん(あお松)
34	インフィニティ キングダム-諸王の戦争	【公式】ステラアルカナ
35	インフィニティ キングダム-諸王の戦争	【公式】成り上がり～華と武の戦国
36	넥슨(NEXON KOREA)	디스이즈게임
37	넥슨(NEXON KOREA)	KT (케이티)
38	넥슨(NEXON KOREA)	에버랜드
39	𝑹𝒂𝒐𝒏 ラオン	남도형
40	𝑹𝒂𝒐𝒏 ラオン	PelleK
41	𝑹𝒂𝒐𝒏 ラオン	HIKAKIN😎ヒカキン 【YouTuber】
42	𝑹𝒂𝒐𝒏 ラオン	TeddyLoid
43	𝑹𝒂𝒐𝒏 ラオン	🌈NANO@10th Anniversary
44	𝑹𝒂𝒐𝒏 ラオン	AmaLee / M̶̱̍ö̷̧́n̶̝͋a̷͔̓r̷̝̓c̶̼̈́h̸͕̀ 🦋
45	𝑹𝒂𝒐𝒏 ラオン	안예은
46	𝑹𝒂𝒐𝒏 ラオン	Eve
47	むーらん😈1日目西め21b@SD絵仕事募集中🌙☃️	Eve
48	むーらん😈1日目西め21b@SD絵仕事募集中🌙☃️	luz(ルス)🥀@7th TOUR -CARNIVAL-
49	むーらん😈1日目西め21b@SD絵仕事募集中🌙☃️	DECO*27
50	むーらん😈1日目西め21b@SD絵仕事募集中🌙☃️	TikTok Japan【公式】ティックトック
51	むーらん😈1日目西め21b@SD絵仕事募集中🌙☃️	石田拳智(超無課金)/αD代表
52	むーらん😈1日目西め21b@SD絵仕事募集中🌙☃️	となりの坂田。@浦島坂田船
53	むーらん😈1日目西め21b@SD絵仕事募集中🌙☃️	森川ジョージ
54	むーらん😈1日目西め21b@SD絵仕事募集中🌙☃️	真島ヒロ
55	むーらん😈1日目西め21b@SD絵仕事募集中🌙☃️	うらたぬき🍀浦島坂田船/浦田わたる
56	むーらん😈1日目西め21b@SD絵仕事募集中🌙☃️	🤮Gero🤮
57	アズールレーン公式	Azur Lane Official
58	アズールレーン公式	ヤマハ バイク
59	アズールレーン公式	ガーディアンテイルズ公式
60	アズールレーン公式	西川貴教
61	アズールレーン公式	TVアニメ『アズールレーン びそくぜんしんっ！』公式
62	アズールレーン公式	ブルーアーカイブ公式
63	アズールレーン公式	株式会社Yostar Pictures
64	アズールレーン公式	YostarGames
65	アズールレーン公式	【公式】雀魂-じゃんたま-
66	アズールレーン公式	株式会社Yostar
67	붕괴3rd	Honkai Impact 3rd
68	붕괴3rd	原神（Genshin）公式
69	Honkai Impact 3rd	Honkai: Star Rail
70	Honkai Impact 3rd	Zenless Zone Zero
71	Honkai Impact 3rd	HoYoLAB
72	Honkai Impact 3rd	N0va Desktop
73	Honkai Impact 3rd	HOYO-MiX
74	Honkai Impact 3rd	Tears of Themis
75	Honkai Impact 3rd	Genshin Impact ES
76	Honkai Impact 3rd	Genshin Impact
77	Honkai Impact 3rd	崩壊3rd公式
78	Honkai Impact 3rd	붕괴3rd
79	原神（Genshin）公式	小岩井ことり
80	原神（Genshin）公式	西川貴教
81	原神（Genshin）公式	三森すずこ
82	原神（Genshin）公式	高橋李依
83	YostarGames	Azur Lane Official
84	YostarGames	Arknights_EN
85	YostarGames	アズールレーン公式
86	YostarGames	Aether Gazer
87	YostarGames	株式会社Yostar
88	YostarGames	Revived Witch Official
89	YostarGames	명일방주
90	YostarGames	Anime Expo
91	YostarGames	アークナイツ公式
92	YostarGames	【公式】雀魂-じゃんたま-
93	Azur Lane Official	アズールレーン公式
94	Azur Lane Official	Arknights_EN
95	Azur Lane Official	Aether Gazer
96	Azur Lane Official	YostarGames
97	Azur Lane Official	Revived Witch Official
98	Azur Lane Official	명일방주
99	Azur Lane Official	アークナイツ公式
100	Azur Lane Official	【公式】雀魂-じゃんたま-
101	Azur Lane Official	株式会社Yostar
102	アークナイツ公式	ガーディアンテイルズ公式
103	アークナイツ公式	ブルーアーカイブ公式
104	アークナイツ公式	株式会社Yostar Pictures
105	アークナイツ公式	명일방주
106	アークナイツ公式	Arknights_EN
107	アークナイツ公式	Azur Lane Official
108	アークナイツ公式	【公式】雀魂-じゃんたま-
109	アークナイツ公式	YostarGames
110	アークナイツ公式	株式会社Yostar
111	アークナイツ公式	アズールレーン公式
